artist_name,gender,notes
883,M,
A Great Big World feat. Christina Aguilera,Mixed,
AKA 7even,M,
Achille Lauro,M,
Actarus,Mixed,
Adele,F,
Adriano Celentano,M,
Aeham Ahmad,M,
Afterhours,M,
Aiello,M,
Aitana,F,
Al Bano,M,
Alan Sorrenti,M,
Alberto Lupo,M,
Alberto Radius,M,
Alberto Urso,M,
Aleandro Baldi,M,
Alessandra Amoroso,F,
Alessio Bernabei,M,
Alex Baroni,M,
Alex Britti,M,
Alfa,M,
Alicia Keys,F,
Alunni del Sole,M,
Amara,F,
Amedeo Minghi,M,
Ana Mena,F,
Anastasio,M,
Andrea Bocelli,M,
Andy dei Bluvertigo,M,
Angelina Mango,F,
Anna Oxa,F,
Anna Tatangelo,F,
Annalisa,F,
Antonello Venditti,M,
Aretha Franklin,F,
Ariete,F,
Arisa,F,
Articolo 31,M,
Biagio Antonacci,M,
BabelNova Orchestra,M,
Bambole di pezza,F,
Baustelle,Mixed,
Belén Rodríguez,F,
Benji & Fede,M,
Biagio Antonacci,M,
Bianca Atzei,F,
BigMama,F,
Biggio,M,
Blanco,M,
Bluvertigo,M,
Bnkr44,M,
Bobo Rondelli,M,
Boomdabash,M,
Bresh,M,
Britney Spears,F,
Brunori Sas,M,
Bugo,M,
C.S.I.,Mixed,
CCCP - Fedeli alla linea,Mixed,
Calcutta,M,
Calibro 35,M,
Canova,M,
Carla Bruni,F,
Carmen Consoli,F,
Casadilego,F,
Caterina Caselli,F,
Cesare Cremonini,M,
Chiara,F,
Chiello,M,
"Christian ""Tozzo"" Montanarella",M,
Christina Aguilera et al.,Mixed,
Clara,F,
Claudia Mori,F,
Claudio Santamaria,M,
Clementino,M,
Cochi,M,
Colapesce Dimartino,M,
Colla Zio,M,
Colombre,M,
Coma Cose,Mixed,
Coma_Cose,Mixed,
Coro Voci Nere,Mixed,
Coro del Teatro Regio di Parma,Mixed,
Cosmo,M,
Cristiano De André,M,
Cristina D'Avena,F,
Cugini di Campagna,M,
Daniele Moretto,M,
Daniele Silvestri,M,
Danilo Rea,M,
Dardust,M,
Dargen D'Amico,M,
David Bowie,M,
Dear Jack,M,
Deborah Iurato,F,
Delia,F,
Dik Dik,M,
Dimartino,M,
Diodato,M,
Dionne Warwick,F,
Ditonellapiaga,F,
Dolcenera,F,
Domenico Modugno,M,
Don Backy,M,
Don Joe,M,
Donatella Rettore,F,
Dori Ghezzi,F,
Eddie Brock,M,
Edoardo,M,
Edoardo Bennato,M,
Eduardo De Crescenzo,M,
Eiffel 65,M,
Elena D'Amario,F,
Elettra Lamborghini,F,
Elio,M,
Elisa,F,
Elodie,F,
Elton John,M,
Emanuela Fanelli,F,
Emma,F,
Enrico Nigiotti,M,
Enrico Ruggeri,M,
Enzo Jannacci,M,
Ermal Meta,M,
Eros Ramazzotti,M,
Eugenio Bennato,M,
Eurythmics,Mixed,
Extraliscio con Davide Toffolo,M,
Fabio Liberatori,M,
Fabrizio Bosso,M,
Fabrizio De André,M,
Fabrizio Moro,M,
Fasma,M,
Fausto Cigliano,M,
Fausto Leali,M,
Federico Poggipollini,M,
Fedez,M,
Filippo Timi,M,
Fiorella Mannoia,F,
Frah Quintale,M,
Francesca Alotta,F,
Francesca Fagnani,F,
Francesca Michielin,F,
Francesco De Gregori,M,
Francesco Gabbani,M,
Francesco Guccini,M,
Francesco Mandelli,M,
Francesco Nuti,M,
Francesco Pannofino,M,
Francesco Renga,M,
Francesco Versace,M,
Franco Battiato,M,
Franco Califano,M,
Frank Sinatra,M,
Fred De Palma,M,
Fulminacci,M,
Gabbani,M,
Gabriella Ferri,F,
Gaia,F,
Gaia - La Niña,F,
"Galeffi, Fudasca & Band",M,
Gazzelle,M,
Gemelli DiVersi,M,
Gene Pitney,M,
Geolier,M,
Geolier feat. Lazza,M,
Ghali,M,
Ghemon,M,
Gianluca Grignani,M,
Gianmaria,M,
Gianna Nannini,F,
Gianni Morandi,M,
Gigi D'Agostino,M,
Gigi D'Alessio,M,
Gigliola Cinquetti,F,
Ginevra,F,
Gino Paoli,M,
Gio Evan,M,
Giordana Angi,F,
Giorgia,F,
Giorgio Faletti,M,
Giovanni Caccamo,M,
Giovanni Truppi,M,
Giuni Russo,F,
Giusy Ferreri,F,
Goran Bregović,M,
Grazia Di Michele,F,
Gregory Porter,M,
Guè,M,
Highsnob,M,
Hu,F,
I Cugini di Campagna,M,
I cantanti di The Voice Senior,Mixed,
I musicisti,M,
Il Tre,M,
Il Volo,M,
Iljard Shaba,M,
Irama,M,
Irene Cara,F,
Irene Fornaciari,F,
Irene Grandi,F,
Iva Zanicchi,F,
Ivana Spagna,F,
Izi,M,
J-Ax,M,
Jack Savoretti,M,
Jalisse,Mixed,
Jimmy Fontana,M,
Joan Thiele,F,
Johnson Righeira,M,
Jovanotti,M,
Julio Iglesias,M,
Junior Cally,M,
Jvke,M,
Kingdom Choir,Mixed,
LDA,M,
La Rappresentante di Lista,Mixed,
La Sad,M,
Lara Fabian,F,
Las Ketchup,F,
Laura Marzadori,F,
Lazza,M,
Le Deva,F,
Le Vibrazioni,M,
Leo Gassmann,M,
Leonard Cohen,M,
Levante,M,
Ligera County Fam.,M,
Little Tony,M,
Lo Stato Sociale,M,
Lodovica Comello,F,
Loredana Bertè,F,
Lorella Cuccarini,F,
Lorenzo Fragola,M,
Lous and the Yakuza,F,
Luca Carboni,M,
Luchè,M,
Lucio Battisti,M,
Lucio Corsi,M,
Lucio Dalla,M,
Luigi Tenco,M,
Lùnapop,M,
Madame,F,
Magical Mistery Band,M,
Mahmood,M,
Malika Ayane,F,
Mamakass,M,
Mandelli,M,
Mango,M,
Maninni,M,
Mannoia,F,
Manuel Agnelli,M,
Mara Sattei,F,
Marcella Bella,F,
Marco Masini,M,
Marco Mengoni,M,
Margherita Vicario,F,
Maria Antonietta,F,
Mario Biondi,M,
Marracash,M,
Masini,M,
Massimo Ranieri,M,
Matia Bazar,Mixed,
Matteo Romano,M,
Mauro Coruzzi,M,
Mauro Pagani,M,
Max Gazzè,M,
Mecna,M,
Merk & Kremont,M,
Mia Martini,F,
Michele Bravi,M,
Michele Zarrillo,M,
Miguel Bosé,M,
Milva,F,
Mina,F,
Mitzi Green,F,
Modà,M,
Moreno,M,
Morgan,M,
Mr. Rain,M,
Myss Keta,F,
Måneskin,Mixed,
Nada,F,
Napoli Mandolin Orchestra,M,
Nayt,M,
Neffa,M,
Negramaro,M,
Nek,M,
Neri per Caso,M,
Nesli,M,
Nik Kershaw,M,
Nilla Pizzi,F,
Nina Zilli,F,
Nino Ferrer,M,
Noemi,F,
Nomadi,M,
Ofenbach,M,
Ofenbach feat. Norma Jean Martine,Mixed,
Olly,M,
Orietta Berti,F,
Ornella Vanoni,F,
P. Vallesi,M,
Pacifico,M,
Paola & Chiara,F,
Paola Turci,F,
Paolo Jannacci,M,
Paolo Vallesi,M,
Patty Pravo,F,
Paul McCartney,M,
Peter Pichler,M,
Pierangelo Bertoli,M,
Piero Pelù,M,
Pinguini Tattici Nucleari,M,
Pino D'Angiò,M,
Pino Daniele,M,
Pooh,M,
Poveri,Mixed,
Premiata Forneria Marconi,M,
Pupo,M,
Quartetto Cetra,Mixed,
Quartetto d'archi dell'Orchestra di Roma,Mixed,
Queen,M,
Raf,M,
Raffaella Carrà,F,
Rancore,M,
Random,M,
Raoul Casadei,M,
Raphael Gualazzi,M,
Ratchopper,M,
Ray Charles,M,
Renato,M,
Renato Carosone,M,
Renato Zero,M,
Renzo Rubino,M,
Rettore,F,
Riccardo Cocciante,M,
Riccardo Sinigallia,M,
Ricchi,Mixed,
Ricky Portera,M,
Righeira,M,
Riki,M,
Rino Gaetano,M,
Rita Marcotulli,F,
Rita Pavone,F,
Rkomi,M,
Roberto Vecchioni,M,
Rocco Hunt,M,
Rocco Tanica,M,
Romina Power,F,
Ron,M,
Rosa Chemical,M,
Rose Villain,F,
Roy Paci,M,
S. Cristicchi,M,
Sal Da Vinci,M,
Salmo,M,
Samuel,M,
Samuele Bersani,M,
Samurai Jay,M,
Sangiovanni,M,
Santi Francesi,M,
Sarah Toscano,F,
Saverio Cigarini,M,
Saverio Lanza,M,
Sayf,M,
Serena Brancale,F,
Sergio Endrigo,M,
Sergio Sylvestre,M,
Sethu,M,
Shablo con Guè Joshua,M,
Shari,F,
Simon & Garfunkel,M,
Simona Molinari,F,
Simone Cristicchi,M,
Sissi,F,
Skin,F,
Solis String Quartet,M,
Sophie and the Giants con Peppe Vessicchio,Mixed,
Sottotono,M,
Soul System,Mixed,
Stadio,M,
Stef Burns,M,
Stjepan Hauser,M,
Sud Sound System,M,
Sílvia Pérez Cruz,F,
Takagi & Ketra,M,
Tananai,M,
Tenores di Bitti,M,
The Beatles,M,
The Bluebeaters,M,
The Guess Who,M,
The Kolors,M,
The Ronettes,F,
Timofej Andrijashenko,M,
Tiromancino,M,
Tiziano Ferro,M,
Tommaso Paradiso,M,
Tony Del Monaco,M,
Tony Effe,M,
TonyPitony,M,
Topo Gigio,M,
Toquinho,M,
Tormento,M,
Tosca,F,
Toto Cutugno,M,
Tozzi-Morandi-Ruggeri,M,
Tredici Pietro,M,
Tricarico,M,
Tullio De Piscopo,M,
Twin Violins,M,
Ultimo,M,
Umberto Tozzi,M,
Valerio Lundini,M,
Valerio Scanu,M,
Vasco Rossi,M,
Vegas Jones,M,
Venerus,M,
Viito,M,
Vinicio Capossela con Mauro Pagani,M,
Walter Murphy,M,
Will,M,
Willie Peyote,M,
Yuman,M,
Zero Assoluto,M,
Zucchero,M,
Zucchero Fornaciari,M,
il Coro di voci bianche del Teatro Regio di Torino,Mixed,
il Quartetto Flegreo,Mixed,
il coro Artemia,F,
la Wedding & Funeral Band,Mixed,
la nazionale di ginnastica ritmica,F,
le Storie Tese,M,
