year,decade,n_covers,total_per_year,share
2015,1960s,10,20,0.5
2015,1970s,3,20,0.15
2015,1980s,5,20,0.25
2015,1990s,2,20,0.1
2016,1950s,3,20,0.15
2016,1960s,3,20,0.15
2016,1970s,9,20,0.45
2016,1980s,3,20,0.15
2016,1990s,2,20,0.1
2017,1960s,5,16,0.3125
2017,1970s,4,16,0.25
2017,1980s,4,16,0.25
2017,1990s,2,16,0.125
2017,2000s,1,16,0.0625
2020,1950s,1,23,0.043478260869565216
2020,1960s,7,23,0.30434782608695654
2020,1970s,2,23,0.08695652173913043
2020,1980s,8,23,0.34782608695652173
2020,1990s,3,23,0.13043478260869565
2020,2000s,2,23,0.08695652173913043
2021,1960s,6,23,0.2608695652173913
2021,1970s,4,23,0.17391304347826086
2021,1980s,1,23,0.043478260869565216
2021,1990s,10,23,0.43478260869565216
2021,2000s,2,23,0.08695652173913043
2022,1960s,9,22,0.4090909090909091
2022,1970s,7,22,0.3181818181818182
2022,1980s,2,22,0.09090909090909091
2022,1990s,4,22,0.18181818181818182
2023,1960s,2,23,0.08695652173913043
2023,1970s,5,23,0.21739130434782608
2023,1980s,3,23,0.13043478260869565
2023,1990s,5,23,0.21739130434782608
2023,2000s,8,23,0.34782608695652173
2024,1960s,2,21,0.09523809523809523
2024,1970s,3,21,0.14285714285714285
2024,1980s,7,21,0.3333333333333333
2024,1990s,2,21,0.09523809523809523
2024,2000s,3,21,0.14285714285714285
2024,2010s,3,21,0.14285714285714285
2024,2020s,1,21,0.047619047619047616
2025,1950s,1,24,0.041666666666666664
2025,1960s,2,24,0.08333333333333333
2025,1970s,5,24,0.20833333333333334
2025,1980s,3,24,0.125
2025,1990s,4,24,0.16666666666666666
2025,2000s,4,24,0.16666666666666666
2025,2010s,3,24,0.125
2025,2020s,2,24,0.08333333333333333
2026,1930s,1,30,0.03333333333333333
2026,1960s,5,30,0.16666666666666666
2026,1970s,6,30,0.2
2026,1980s,8,30,0.26666666666666666
2026,1990s,3,30,0.1
2026,2000s,4,30,0.13333333333333333
2026,2010s,2,30,0.06666666666666667
2026,2020s,1,30,0.03333333333333333
