contestant,n_original_artists,n_covers
AKA 7even,1,1
Achille Lauro,2,2
Aiello,1,1
Al Bano,1,1
Alberto Urso,1,1
Alessandra Amoroso,2,3
Alessio Bernabei,2,2
Alex Britti,1,1
Alfa,1,1
Ana Mena,3,3
Anastasio,1,1
Angelina Mango,1,1
Anna Oxa,1,1
Anna Tatangelo,1,1
Annalisa,4,4
Ariete,1,1
Arisa,3,3
Articolo 31,1,9
Bambole di pezza,1,1
Bianca Atzei,1,1
BigMama,1,1
Bluvertigo,1,1
Bnkr44,1,1
Bresh,1,1
Brunori Sas,1,1
Bugo,1,1
Chiara,2,2
Chiello,1,1
Clara,2,2
Clementino,1,1
Colapesce Dimartino,2,2
Colla Zio,1,1
Coma Cose,3,3
Dargen D'Amico,3,3
Dear Jack,2,2
Diodato,2,2
Ditonellapiaga,1,1
Dolcenera,1,1
Eddie Brock,1,1
Elettra Lamborghini,2,2
Elio e le Storie Tese,1,1
Elisa,1,1
Elodie,3,3
Emma,2,4
Enrico Nigiotti,2,2
Enrico Ruggeri,1,1
Ermal Meta,3,3
Extraliscio con Davide Toffolo,3,3
Fabrizio Moro,2,2
Fasma,1,1
Fedez,1,1
Fiorella Mannoia,2,2
Francesca Michielin,1,1
Francesco Gabbani,3,3
Francesco Renga,2,2
Fred De Palma,1,3
Fulminacci,2,2
Gaia,2,2
Gazzelle,1,1
Geolier,3,3
Ghali,2,3
Ghemon,4,4
Gianluca Grignani,2,2
Gianmaria,1,1
Gianni Morandi,2,4
Gigi D'Alessio,1,1
Gio Evan,1,1
Giordana Angi,1,1
Giorgia,2,2
Giovanni Truppi,1,1
Giusy Ferreri,1,1
I Cugini di Campagna,1,1
Il Tre,1,3
Il Volo,2,2
Irama,4,4
Irene Fornaciari,1,1
Irene Grandi,2,2
Iva Zanicchi,1,1
J-Ax,1,1
Joan Thiele,1,1
Junior Cally,1,1
LDA,1,1
La Rappresentante di Lista,2,2
La Sad,1,1
Lara Fabian,1,1
Lazza,1,1
Le Vibrazioni,2,2
Leo Gassmann,3,4
Levante,3,3
Lo Stato Sociale,1,1
Lodovica Comello,1,1
Loredana Bertè,1,1
Lorenzo Fragola,2,2
Luchè,1,1
Lucio Corsi,1,1
Madame,2,2
Mahmood,1,1
Malika Ayane,3,3
Maninni,1,1
Mara Sattei,2,2
Marcella Bella,1,1
Marco Masini,3,3
Marco Mengoni,1,1
Massimo Ranieri,1,2
Matteo Romano,1,1
Max Gazzè,1,1
Michele Bravi,3,3
Michele Zarrillo,2,2
Modà,2,2
Moreno,1,1
Mr. Rain,2,2
Måneskin,1,1
Nayt,1,1
Neffa,1,1
Negramaro,1,1
Nek,1,1
Nesli,1,1
Nina Zilli,1,1
Noemi,3,3
Olly,2,2
Orietta Berti,1,1
Paola & Chiara,1,4
Paola Turci,1,1
Paolo Jannacci,1,1
Patty Pravo,2,2
Piero Pelù,1,1
Pinguini Tattici Nucleari,8,8
Raf,2,2
Rancore,1,1
Random,1,1
Raphael Gualazzi,1,1
Renga Nek,2,4
Ricchi e Poveri,1,1
Riki,1,1
Rita Pavone,1,1
Rkomi,1,3
Rocco Hunt,2,2
Rosa Chemical,1,1
Rose Villain,2,4
Sal Da Vinci,1,1
Samuel,1,1
Samurai Jay,1,1
Sangiovanni,2,2
Santi Francesi,1,1
Sarah Toscano,1,1
Sayf,1,1
Serena Brancale,2,2
Sergio Sylvestre,1,1
Sethu,1,1
Shari,1,2
Simone Cristicchi,1,1
Stadio,1,1
Tananai,2,2
The Kolors,2,4
Tommaso Paradiso,1,1
Tosca,1,1
Tredici Pietro,1,1
Ultimo,1,3
Valerio Scanu,1,1
Will,1,1
Willie Peyote,2,2
Yuman,1,1
Zero Assoluto,1,1
"[Biggio, Mandelli]",1,1
"[Bugo, Morgan]",1,1
"[Ditonellapiaga, Rettore]",1,1
"[Elodie, Achille Lauro]",3,3
"[Fedez, Masini]",1,1
"[Francesca Michielin, Fedez]",5,5
"[Giovanni Caccamo, Deborah Iurato]",1,1
"[Grazia Di Michele, Mauro Coruzzi]",1,1
"[Highsnob, Hu]",1,1
"[LDA, AKA 7even]",1,1
"[Mahmood, Blanco]",1,1
"[Maria Antonietta, Colombre]",1,1
"[Noemi, Tony Effe]",1,1
"[Rkomi, Francesca Michielin]",1,1
"[Shablo con Guè Joshua, Tormento]",3,3
