year,contestant,n_original_artists,n_covers
2015,Alex Britti,1,1
2015,Anna Tatangelo,1,1
2015,Annalisa,1,1
2015,Bianca Atzei,1,1
2015,Chiara,1,1
2015,Dear Jack,1,1
2015,Gianluca Grignani,1,1
2015,Il Volo,1,1
2015,Irene Grandi,1,1
2015,Lara Fabian,1,1
2015,Lorenzo Fragola,1,1
2015,Malika Ayane,1,1
2015,Marco Masini,1,1
2015,Moreno,1,1
2015,Nek,1,1
2015,Nesli,1,1
2015,Nina Zilli,1,1
2015,Raf,1,1
2015,"[Biggio, Mandelli]",1,1
2015,"[Grazia Di Michele, Mauro Coruzzi]",1,1
2016,Alessio Bernabei,1,1
2016,Annalisa,1,1
2016,Arisa,1,1
2016,Bluvertigo,1,1
2016,Clementino,1,1
2016,Dear Jack,1,1
2016,Dolcenera,1,1
2016,Elio e le Storie Tese,1,1
2016,Enrico Ruggeri,1,1
2016,Francesca Michielin,1,1
2016,Irene Fornaciari,1,1
2016,Lorenzo Fragola,1,1
2016,Neffa,1,1
2016,Noemi,1,1
2016,Patty Pravo,1,1
2016,Rocco Hunt,1,1
2016,Stadio,1,1
2016,Valerio Scanu,1,1
2016,Zero Assoluto,1,1
2016,"[Giovanni Caccamo, Deborah Iurato]",1,1
2017,Al Bano,1,1
2017,Alessio Bernabei,1,1
2017,Chiara,1,1
2017,Elodie,1,1
2017,Ermal Meta,1,1
2017,Fabrizio Moro,1,1
2017,Fiorella Mannoia,1,1
2017,Francesco Gabbani,1,1
2017,Gigi D'Alessio,1,1
2017,Lodovica Comello,1,1
2017,Marco Masini,1,1
2017,Michele Bravi,1,1
2017,Michele Zarrillo,1,1
2017,Paola Turci,1,1
2017,Samuel,1,1
2017,Sergio Sylvestre,1,1
2020,Achille Lauro,1,1
2020,Alberto Urso,1,1
2020,Anastasio,1,1
2020,Diodato,1,1
2020,Elettra Lamborghini,1,1
2020,Elodie,1,1
2020,Enrico Nigiotti,1,1
2020,Francesco Gabbani,1,1
2020,Giordana Angi,1,1
2020,Irene Grandi,1,1
2020,Junior Cally,1,1
2020,Le Vibrazioni,1,1
2020,Levante,1,1
2020,Marco Masini,1,1
2020,Michele Zarrillo,1,1
2020,Paolo Jannacci,1,1
2020,Piero Pelù,1,1
2020,Pinguini Tattici Nucleari,8,8
2020,Rancore,1,1
2020,Raphael Gualazzi,1,1
2020,Riki,1,1
2020,Rita Pavone,1,1
2020,Tosca,1,1
2020,"[Bugo, Morgan]",1,1
2021,Aiello,1,1
2021,Annalisa,1,1
2021,Arisa,1,1
2021,Bugo,1,1
2021,Colapesce Dimartino,1,1
2021,Coma Cose,1,1
2021,Ermal Meta,1,1
2021,Extraliscio con Davide Toffolo,3,3
2021,Fasma,1,1
2021,Francesco Renga,1,1
2021,Fulminacci,1,1
2021,Gaia,1,1
2021,Ghemon,4,4
2021,Gio Evan,1,1
2021,Irama,1,1
2021,La Rappresentante di Lista,1,1
2021,Lo Stato Sociale,1,1
2021,Madame,1,1
2021,Malika Ayane,1,1
2021,Max Gazzè,1,1
2021,Måneskin,1,1
2021,Noemi,1,1
2021,Orietta Berti,1,1
2021,Random,1,1
2021,Willie Peyote,1,1
2021,"[Francesca Michielin, Fedez]",5,5
2022,AKA 7even,1,1
2022,Achille Lauro,1,1
2022,Ana Mena,3,3
2022,Dargen D'Amico,1,1
2022,Elisa,1,1
2022,Emma,1,1
2022,Fabrizio Moro,1,1
2022,Gianni Morandi,2,4
2022,Giovanni Truppi,1,1
2022,Giusy Ferreri,1,1
2022,Irama,1,1
2022,Iva Zanicchi,1,1
2022,La Rappresentante di Lista,1,1
2022,Le Vibrazioni,1,1
2022,Massimo Ranieri,1,1
2022,Matteo Romano,1,1
2022,Michele Bravi,1,1
2022,Noemi,1,1
2022,Rkomi,1,3
2022,Sangiovanni,1,1
2022,Tananai,1,1
2022,Yuman,1,1
2022,"[Ditonellapiaga, Rettore]",1,1
2022,"[Highsnob, Hu]",1,1
2022,"[Mahmood, Blanco]",1,1
2023,Anna Oxa,1,1
2023,Ariete,1,1
2023,Articolo 31,1,9
2023,Colapesce Dimartino,1,1
2023,Colla Zio,1,1
2023,Coma Cose,1,1
2023,Elodie,1,1
2023,Gianluca Grignani,1,1
2023,Gianmaria,1,1
2023,Giorgia,1,1
2023,I Cugini di Campagna,1,1
2023,LDA,1,1
2023,Lazza,1,1
2023,Leo Gassmann,2,3
2023,Levante,1,1
2023,Madame,1,1
2023,Mara Sattei,1,1
2023,Marco Mengoni,1,1
2023,Modà,1,1
2023,Mr. Rain,1,1
2023,Olly,1,1
2023,Paola & Chiara,1,4
2023,Rosa Chemical,1,1
2023,Sethu,1,1
2023,Shari,1,2
2023,Tananai,1,1
2023,Ultimo,1,3
2023,Will,1,1
2024,Alessandra Amoroso,2,3
2024,Alfa,1,1
2024,Angelina Mango,1,1
2024,Annalisa,1,1
2024,BigMama,1,1
2024,Bnkr44,1,1
2024,Clara,1,1
2024,Dargen D'Amico,1,1
2024,Diodato,1,1
2024,Emma,1,3
2024,Fiorella Mannoia,1,1
2024,Fred De Palma,1,3
2024,Gazzelle,1,1
2024,Geolier,3,3
2024,Ghali,2,3
2024,Il Tre,1,3
2024,Il Volo,1,1
2024,Irama,1,1
2024,La Sad,1,1
2024,Loredana Bertè,1,1
2024,Mahmood,1,1
2024,Maninni,1,1
2024,Mr. Rain,1,1
2024,Negramaro,1,1
2024,Renga Nek,2,4
2024,Ricchi e Poveri,1,1
2024,Rose Villain,1,3
2024,Sangiovanni,1,1
2024,Santi Francesi,1,1
2024,The Kolors,1,3
2025,Bresh,1,1
2025,Brunori Sas,1,1
2025,Clara,1,1
2025,Coma Cose,1,1
2025,Fedez,1,1
2025,Francesco Gabbani,1,1
2025,Gaia,1,1
2025,Giorgia,1,1
2025,Irama,1,1
2025,Joan Thiele,1,1
2025,Lucio Corsi,1,1
2025,Marcella Bella,1,1
2025,Massimo Ranieri,1,1
2025,Modà,1,1
2025,Olly,1,1
2025,Rocco Hunt,1,1
2025,Rose Villain,1,1
2025,Sarah Toscano,1,1
2025,Serena Brancale,1,1
2025,Simone Cristicchi,1,1
2025,The Kolors,1,1
2025,Willie Peyote,1,1
2025,"[Elodie, Achille Lauro]",3,3
2025,"[Noemi, Tony Effe]",1,1
2025,"[Rkomi, Francesca Michielin]",1,1
2025,"[Shablo con Guè Joshua, Tormento]",3,3
2026,Arisa,1,1
2026,Bambole di pezza,1,1
2026,Chiello,1,1
2026,Dargen D'Amico,1,1
2026,Ditonellapiaga,1,1
2026,Eddie Brock,1,1
2026,Elettra Lamborghini,1,1
2026,Enrico Nigiotti,1,1
2026,Ermal Meta,1,1
2026,Francesco Renga,1,1
2026,Fulminacci,1,1
2026,J-Ax,1,1
2026,Leo Gassmann,1,1
2026,Levante,1,1
2026,Luchè,1,1
2026,Malika Ayane,1,1
2026,Mara Sattei,1,1
2026,Michele Bravi,1,1
2026,Nayt,1,1
2026,Patty Pravo,1,1
2026,Raf,1,1
2026,Sal Da Vinci,1,1
2026,Samurai Jay,1,1
2026,Sayf,1,1
2026,Serena Brancale,1,1
2026,Tommaso Paradiso,1,1
2026,Tredici Pietro,1,1
2026,"[Fedez, Masini]",1,1
2026,"[LDA, AKA 7even]",1,1
2026,"[Maria Antonietta, Colombre]",1,1
