original_artist,count
Lucio Battisti,9
Articolo 31,9
Adriano Celentano,7
Fabrizio De André,7
Gianna Nannini,7
Luigi Tenco,6
Ornella Vanoni,6
Vasco Rossi,6
Lucio Dalla,6
Pino Daniele,5
Riccardo Cocciante,5
Zucchero Fornaciari,5
Caterina Caselli,4
Franco Battiato,4
Eros Ramazzotti,4
Jovanotti,4
Fabrizio Moro,4
Paola & Chiara,4
Patty Pravo,3
Mina,3
Sergio Endrigo,3
Loredana Bertè,3
Gianni Morandi,3
Domenico Modugno,3
Francesco De Gregori,3
Edoardo Bennato,3
Anna Oxa,3
Gianluca Grignani,3
Ricchi e Poveri,3
Daniele Silvestri,3
Francesco Renga,3
Umberto Tozzi,3
Tiziano Ferro,3
Eiffel 65,3
Massimo Ranieri,2
Cochi e Renato,2
Matia Bazar,2
Renato Carosone,2
Nilla Pizzi,2
Mia Martini,2
Toto Cutugno,2
Neffa,2
Nesli,2
Samuele Bersani,2
Donatella Rettore,2
Afterhours,2
Rino Gaetano,2
Gino Paoli,2
Michele Zarrillo,2
Franco Califano,2
Jimmy Fontana,2
Ghali,2
"[Alessandra Amoroso, Boomdabash]",2
Nek,2
"[Domenico Modugno, Gigliola Cinquetti]",1
Luca Carboni,1
Giuni Russo,1
Dik Dik,1
Ron,1
Eduardo De Crescenzo,1
Francesco Nuti,1
Quartetto Cetra,1
Actarus,1
Nada,1
Walter Murphy,1
Rita Pavone,1
Alunni del Sole,1
Don Backy,1
Giorgio Faletti,1
Miguel Bosé,1
Nomadi,1
Nino Ferrer,1
Fausto Leali,1
"[Fausto Cigliano, Gene Pitney]",1
Renato Zero,1
Tozzi-Morandi-Ruggeri,1
"[Tony Del Monaco, Dionne Warwick]",1
Elisa,1
Simone Cristicchi,1
Amedeo Minghi,1
Little Tony,1
Enzo Jannacci,1
Claudia Mori,1
Francesco Guccini,1
CCCP - Fedeli alla linea,1
883,1
C.S.I.,1
Aretha Franklin,1
Frank Sinatra,1
Paul McCartney,1
Pierangelo Bertoli,1
Britney Spears,1
Irene Cara,1
Elton John,1
Milva,1
The Ronettes,1
Alex Baroni,1
Pooh,1
Raffaella Carrà,1
The Guess Who,1
Lorella Cuccarini,1
"[S. Cristicchi, Biagio Antonacci]",1
"[Elisa, Giorgia]",1
"[P. Vallesi, Cugini di Campagna]",1
The Beatles,1
Lùnapop,1
Le Vibrazioni,1
Baustelle,1
Alex Britti,1
Gigi D'Agostino,1
Sangiovanni,1
Eurythmics,1
Antonello Venditti,1
Roberto Vecchioni,1
Pino D'Angiò,1
"[Mannoia, Gabbani]",1
Leonard Cohen,1
Ivana Spagna,1
Mango,1
Dargen D'Amico,1
"[Gemelli DiVersi, Mr. Rain]",1
Queen,1
Christina Aguilera et al.,1
"[Ermal Meta, Fabrizio Moro]",1
Simon & Garfunkel,1
Cesare Cremonini,1
Alicia Keys,1
A Great Big World feat. Christina Aguilera,1
Sal Da Vinci,1
Tricarico,1
Adele,1
Ofenbach feat. Norma Jean Martine,1
Righeira,1
"[Riccardo Cocciante, Loredana Bertè]",1
Marco Masini,1
"[Neffa, Sottotono]",1
Fiorella Mannoia,1
Cristina D'Avena,1
Pupo,1
Mitzi Green,1
Las Ketchup,1
Jvke,1
David Bowie,1
"[Mina, Alberto Lupo]",1
Tullio De Piscopo,1
Carmen Consoli,1
"[Ornella Vanoni, Gino Paoli]",1
Nik Kershaw,1
Ray Charles,1
Andrea Bocelli,1
"[Gianni Morandi, Lucio Dalla]",1
Max Gazzè,1
Noemi,1
Achille Lauro,1
Raoul Casadei,1
Dori Ghezzi,1
Gabriella Ferri,1
Calcutta,1
"[Al Bano, Romina Power]",1
Jalisse,1
"[Aleandro Baldi, Francesca Alotta]",1
Neri per Caso,1
Stadio,1
Alan Sorrenti,1
Julio Iglesias,1
"[Edoardo, Eugenio Bennato]",1
"[Guè, Marracash]",1
Luchè,1
"[Geolier feat. Lazza, Takagi & Ketra]",1
Sud Sound System,1
Sottotono,1
