year,contestant,edition,n_self_covers,songs_str,n_songs_performer
2016,Patty Pravo,LXVI,1,Tutt'al più,1
2022,Gianni Morandi,LXXII,2,Occhi di ragazza | Un mondo d'amore,4
2023,Anna Oxa,LXXIII,1,Un'emozione da poco,1
2023,Articolo 31,LXXIII,9,L'italiano medio | Domani smetto | Spirale ovale | Gente che spera | Volume | La fidanzata | Ohi Maria | Il funkytarro | Tranqi Funky,9
2023,Gianluca Grignani,LXXIII,1,Destinazione Paradiso,1
2023,Giorgia,LXXIII,1,Luce (tramonti a nord est) / Di sole e d'azzurro,1
2023,Paola & Chiara,LXXIII,4,Festival | Viva el amor! | Amici come prima | Vamos a bailar (Esta vida nuova),4
2024,Alessandra Amoroso,LXXIV,2,Mambo salentino | Karaoke,3
2024,Dargen D'Amico,LXXIV,1,Omaggio a Ennio Morricone,1
2024,Ghali,LXXIV,2,Bayna | Cara Italia,3
2024,Mr. Rain,LXXIV,1,Mary / Supereroi,1
2024,Ricchi e Poveri,LXXIV,1,Sarà perché ti amo / Mamma Maria,1
2024,Sangiovanni,LXXIV,1,Farfalle / Mariposas,1
