year,edition,contestant,song,original_artist,song_year,song_year_parsed,guest_artist,is_self_cover
2016,LXVI,Patty Pravo,Tutt'al più,Patty Pravo,1970,1970,Fred De Palma,True
2023,LXXIII,Gianluca Grignani,Destinazione Paradiso,Gianluca Grignani,1995,1995,Arisa,True
2023,LXXIII,Giorgia,Luce (tramonti a nord est) / Di sole e d'azzurro,"[Elisa, Giorgia]",2001,2001,Elisa,True
2023,LXXIII,Anna Oxa,Un'emozione da poco,Anna Oxa,1978,1978,Iljard Shaba,True
2024,LXXIV,Sangiovanni,Farfalle / Mariposas,Sangiovanni,2022,2022,Aitana,True
2024,LXXIV,"[Ricchi, Poveri]",Sarà perché ti amo / Mamma Maria,"[Ricchi, Poveri]",1981-1982,1981,Paola & Chiara,True
2024,LXXIV,Dargen D'Amico,Omaggio a Ennio Morricone,Dargen D'Amico,2015-2022,2015,BabelNova Orchestra,True
2024,LXXIV,Mr. Rain,Mary / Supereroi,"[Gemelli DiVersi, Mr. Rain]",2003-2023,2003,"[Gemelli DiVersi, la nazionale di ginnastica ritmica]",True
2022,LXXII,Gianni Morandi,Occhi di ragazza,Gianni Morandi,,,-,True
2022,LXXII,Gianni Morandi,Un mondo d'amore,Gianni Morandi,,,-,True
2023,LXXIII,Articolo 31,L'italiano medio,Articolo 31,,,-,True
2023,LXXIII,Articolo 31,Domani smetto,Articolo 31,,,-,True
2023,LXXIII,Articolo 31,Spirale ovale,Articolo 31,,,-,True
2023,LXXIII,Articolo 31,Gente che spera,Articolo 31,,,-,True
2023,LXXIII,Articolo 31,Volume,Articolo 31,,,-,True
2023,LXXIII,Articolo 31,La fidanzata,Articolo 31,,,-,True
2023,LXXIII,Articolo 31,Ohi Maria,Articolo 31,,,-,True
2023,LXXIII,Articolo 31,Il funkytarro,Articolo 31,,,-,True
2023,LXXIII,Articolo 31,Tranqi Funky,Articolo 31,,,-,True
2023,LXXIII,Paola & Chiara,Festival,Paola & Chiara,,,-,True
2023,LXXIII,Paola & Chiara,Viva el amor!,Paola & Chiara,,,-,True
2023,LXXIII,Paola & Chiara,Amici come prima,Paola & Chiara,,,-,True
2023,LXXIII,Paola & Chiara,Vamos a bailar (Esta vida nuova),Paola & Chiara,,,-,True
2024,LXXIV,Ghali,Bayna,Ghali,,,-,True
2024,LXXIV,Ghali,Cara Italia,Ghali,,,-,True
2024,LXXIV,Alessandra Amoroso,Mambo salentino,"[Alessandra Amoroso, Boomdabash]",,,-,True
2024,LXXIV,Alessandra Amoroso,Karaoke,"[Alessandra Amoroso, Boomdabash]",,,-,True
